building_code,id,name,category,description,system,location,area_sqft,capacity_theater,capacity_banquet,capacity_classroom,capacity_reception,capacity_boardroom,capacity_circle,capacity_u_shape,capacity_hollow_square,capacity_max_standalone,max_capacity,type,rate_rso,rate_department,rate_external,rso_free,managed_by,equipment,booking_method,contact,notes,tags,cssa_recommended
PRICE,revelle-college-room,Revelle College Room,University Centers — Price Center 会议室,375sqft 小型会议室，仅 Boardroom 配置。,university-centers,"Price Center West, L2",375,,,,,12,,,,,12,小型 Meeting Room,免费,$30 setup / $68,$100,True,University Centers,基本AV,T-RES,reservations@ucsd.edu,仅 Boardroom,,False
PRICE,the-loft,The LOFT,University Centers — 户外 & 特色场地,2009年创立的学生中心表演酒廊，位于 Price Center 二楼。集咖啡厅(Zanzibar Cafe)、现场演出、电影放映、艺术展览于一体。温馨亲密的氛围，适合中小型音乐会/脱口秀/影片放映。提供啤酒和葡萄酒。,university-centers,"Price Center East, L2",,,,,,,,,,150,150,"Coffee House /
演出酒廊",免费场租,需联系确认,需联系确认,True,University Centers,舞台+灯光+音响+投影,T-RES,reservations@ucsd.edu | theloft.ucsd.edu,私人活动：Cafe 营业时间后可用,音乐会,True
PRICE,price-center-plaza,Price Center Plaza,University Centers — 户外 & 特色场地,Price Center 建筑群围合的户外广场，适合中型户外活动、表演、展览。,university-centers,Price Center 中庭,,,,,,,,,,,,户外广场,免费,Evening $125 | Morning $100,$250,True,University Centers,需自备或租用,T-RES,reservations@ucsd.edu,,户外集市,True
MATQD,matthews-quad,Matthews Quad,University Centers — 户外 & 特色场地,Student Services Center 旁大型户外草坪，适合户外大型集会/运动会/festival。,university-centers,Student Services Center 旁,,,,,,,,,,,,户外草坪,免费,免费,"$1,500",True,University Centers,需自备,T-RES,reservations@ucsd.edu,"外部$1,500",大型户外活动,True
STCTR,dolores-huerta-philip-vera-cruz-room,Dolores Huerta / Philip Vera Cruz Room,University Centers — Student Center,"Student Center 主活动空间(1,281sqft)，可分隔为 Huerta Room 和 Vera Cruz Room 独立使用。适合中型会议/活动。",university-centers,"Original Student Center, L1",1281,80,56,39,80,34,42,,,,80,Meeting Room / 活动空间,免费,Huerta: $50/$68 | Vera Cruz: $50/$68 | 合并: $100/$135,Huerta: $135 | Vera Cruz: $135 | 合并: $270,True,University Centers,投影+音响,T-RES,reservations@ucsd.edu,可分隔为两独立房间,,False
STCTR,thich-nhat-hanh-room,Thich Nhat Hanh Room,University Centers — Student Center,Student Center 小型会议室(439sqft)，仅 Boardroom 配置10人。,university-centers,"Original Student Center, L1",439,,,,,10,,,,,10,小型 Meeting Room,免费,$30 setup / $50,$100,True,University Centers,基本AV,T-RES,reservations@ucsd.edu,,,False
STCTR,stage-room-patio,Stage Room & Patio,University Centers — Student Center,"Student Center 特色空间(4,529sqft)，室内舞台+户外大 Patio。适合演出/大型派对/户外活动。",university-centers,Original Student Center,4529,100,72,,600,22,,20,,,600,演出+户外空间,免费场租 | (Setup $125),Setup $125 / Usage $188 | Evening $850 | Afternoon $375 / Morning $425,"$1,700 (Evening)",True,University Centers,舞台+灯光+音响,T-RES,reservations@ucsd.edu,Patio Only: Reception 300,,False
EPST,epstein-family-amphitheatre,Epstein Family Amphitheatre,University Centers — 户外 & 特色场地,"2022年落成的户外圆形剧场，由 Safdie Rabines 设计。两段式碗形座椅+大面积草坪坡地，可容纳2,650人。专业舞台、灯光、音响系统。紧邻蓝线 Trolley 站，交通极其便利。适合大型音乐会、文化活动、典礼。",university-centers,Price Center 东侧户外,,,,,,,,,,2650,2650,户外 Amphitheatre,免费场租 | (音响/灯光另计),需联系确认,需联系确认,True,University Centers,专业舞台灯光+Meyer Sound 音响系统,T-RES,reservations@ucsd.edu,户外大型活动首选；需考虑天气,大型户外活动 | 音乐会,True
LIBWK,library-walk-north,Library Walk North,University Centers — 户外 & 特色场地,Library Walk 北段（编号 1967–1993），位于图书馆前、Price Center 前。UCSD 人流量最大的户外 tabling 区域，适合宣传摊位、户外集市、签名活动。,university-centers,图书馆前 / Price Center 前,,,,,,,,,,,,Tabling Space,免费,Evening $150 | Morning $75,$300,True,University Centers,需自备,T-RES,reservations@ucsd.edu,编号 1967–1993，UCSD 最繁忙户外区域北段,户外集市 | tabling,True
LIBWK,library-walk-central,Library Walk Central,University Centers — 户外 & 特色场地,Library Walk 中段（编号 1994–2003），靠近 Target。适合 tabling、宣传摊位、户外集市。,university-centers,靠近 Target,,,,,,,,,,,,Tabling Space,免费,Evening $150 | Morning $75,$300,True,University Centers,需自备,T-RES,reservations@ucsd.edu,编号 1994–2003，Library Walk 中段,户外集市 | tabling,True
LIBWK,library-walk-south,Library Walk South,University Centers — 户外 & 特色场地,Library Walk 南段（编号 2003–2052），靠近 Center Hall。适合 tabling、宣传摊位、户外集市。,university-centers,靠近 Center Hall,,,,,,,,,,,,Tabling Space,免费,Evening $150 | Morning $75,$300,True,University Centers,需自备,T-RES,reservations@ucsd.edu,编号 2003–2052，Library Walk 南段,户外集市 | tabling,True
RUPLN,rupertus-lane,Rupertus Lane,University Centers — 户外 & 特色场地,户外通道空间。,university-centers,Price Center 区域,,,,,,,,,,,,户外通道,免费,免费,"$1,500",True,University Centers,需自备,T-RES,reservations@ucsd.edu,,,False
TWNSQ,town-square,Town Square,University Centers — 户外 & 特色场地,Student Center 旁户外广场。仅限 RSO 和校内部门使用。,university-centers,Student Center 旁,,,,,,,,,,,,户外广场,免费（RSO不可用Evening）,免费,"$1,500",True,University Centers,需自备,T-RES,reservations@ucsd.edu,RSO 不可预约 Evening,,False
DIB,design-innovation-building-dib,Design & Innovation Building (DIB),独立预约场地,UCSD 设计与创新大楼，现代开放式设计。5间可预约房间分布在2-4楼，配有白板、投影等。适合 workshop、黑客松、设计冲刺、小型讲座。8am-6pm 开放。,independent,"Design & Innovation Bldg
2F: Rm 208 (Event Room+Terrace)
3F: Rm 306, 307
4F: Rm 406, 407",208306307406407,,,,,,,,,,407,教室 / Workshop 空间,免费（UCSD affiliated）,免费（UCSD）,需联系确认,True,Design Lab / DIB,白板+投影+AV,Skedda | 提前1 Quarter (406提前2周),dib-reservations-g@ucsd.edu,Rm 208 含户外 Terrace,部门例会 | 学术讲座,True
GREAT,the-great-hall-international-house,The Great Hall (International House),独立预约场地,"I-House 标志性活动大厅(4,000sqft)，拥有壮观太平洋海景和两个露天露台。高端建筑设计，适合宴会/婚礼/大型招待会/文化活动。含200把椅子、20张圆桌、6张长桌等设备。UCSD Catering 为唯一餐饮供应商。另有 Asante 会议室可配套使用。",university-centers,"International House
(ERC 旁)
9500 Gilman Dr",4000,,200,,,,,,,,200,"大厅 / 宴会空间
（海景）","Half Day $900 | Full Day $1,100","同 RSO 价 | (Half Day $900 / Full $1,100)","Off-Campus: $3,300/$3,950 | Non-Profit: $2,790/$3,375 | 加时 $200/h",False,International House,音响(Basic $100-150) | 投影(Built-in $100-150) | 舞台($150/8 panels) | 钢琴($75),T-RES 或电话/邮件,ihouseevents@ucsd.edu | (858) 822-1791 | Barbara Ramsey,50%押金(校外)；需 UCSD Catering | 周一-五 8am-10pm | 周六 Asante 6pm-10pm,新生见面会 | 高端宴会,True
ASANT,asante-meeting-rooms-i-house,Asante Meeting Rooms (I-House),独立预约场地,I-House 附属的3间会议室，可独立预约，适合小型会议/工作坊。Asante Terrace 户外空间可额外租用($100)。,university-centers,International House,1231000123600123700,,,,,,,,,,123,Conference Room,123AD: $80/$140 | 123B: $70/$120 | 123C: $70/$120 | (Half/Full Day),同 RSO 价,123AD: $200/$350 | 123B: $175/$300 | 123C: $175/$300,False,International House,基本AV,同 Great Hall,ihouseevents@ucsd.edu,Asante Terrace 额外 $100,,False
CALIT,atkinson-hall-qualcomm-institute,Atkinson Hall (Qualcomm Institute),独立预约场地,Qualcomm Institute 总部，UCSD 最先进的 4K 影院/剧场空间之一。201座 Auditorium 配备 4K 投影系统，适合技术演示、放映会、学术演讲、企业活动。另有 Pre-Function Area 可做招待区。,independent,"Atkinson Hall
(Warren College 区域)",,,,,,,,,,,201,Auditorium / 4K 影院,需联系 QI,需联系 QI | (含1 event staff | +1 AV staff | +基本设备),需联系 QI | (4K投影额外收费),False,Qualcomm Institute,4K 投影+专业音响 | +Meyer Sound | +标准家具+指示牌,qi.ucsd.edu/events-services/ | 或 sites.google.com/ucsd.edu/qi-events,qi-events@ucsd.edu,4K 投影额外收费；全服务式,职业宣讲会,True
CPMC,conrad-prebys-concert-hall,Conrad Prebys Concert Hall,独立预约场地,"由著名声学大师 Cyril M. Harris 设计的世界级音乐厅。350座，专为当代室内乐和小型合奏设计，声学效果卓越。位于 84,000sqft 的 Conrad Prebys Music Center 内。",independent,"Conrad Prebys Music Center
(Revelle College 区域)",,,,,,,,,,350,350,Concert Hall,需与 Music Dept 协商,需与 Music Dept 协商,需与 Music Dept 协商,False,Music Department,世界级声学设计 | 专业舞台灯光音响,联系 Music Dept | blink.ucsd.edu,music-cms.ucsd.edu,Cyril M. Harris 设计声学,音乐会,True
CPMC,conrad-prebys-recital-hall,Conrad Prebys Recital Hall,独立预约场地,150座独奏厅，设计用于亲密的独奏/小型演出/讲座。可选环绕声扩散系统。,independent,Conrad Prebys Music Center,,,,,,,,,,150,150,Recital Hall,需协商,需协商,需协商,False,Music Department,可选环绕声扩散,联系 Music Dept,music-cms.ucsd.edu,适合小型音乐会/讲座,音乐会,True
CPMC,conrad-prebys-experimental-theater,Conrad Prebys Experimental Theater,独立预约场地,黑盒剧场，150座，配备 Meyer Sound Constellation 电声架构系统，可调节房间声学特性。灵活配置，适合实验性演出和跨界艺术。,independent,Conrad Prebys Music Center,,,,,,,,,,150,150,Black Box / 实验剧场,需协商,需协商,需协商,False,Music Department,Meyer Sound Constellation | 可调声学系统,联系 Music Dept,music-cms.ucsd.edu,可调声学——独特技术,音乐会,True
EBU3B,cse-building-ebu3b,CSE Building (EBU3B),独立预约场地,计算机科学与工程大楼，共15间可预约会议室/教室分布在1-4楼。分三类：Self-Service(6间)、Reservation Required(6间)、Seminar(2间)。CSE 关联组织免费，非 CSE 需付费。,independent,"CSE Building (EBU3B)
1F: 1202/1241/1242/1244
2F: 2109/2217
3F: 3109/3217
4F: 4109/4140/4217/4258/4262",12024258384,,,,,,,,,,4262,教室 / 会议室,免费（CSE affiliated）,CSE: $71-$78/h | Non-CSE: $103-$113/h | (大房间贵，小房间便宜),同 Non-CSE 价,True,CSE Department,"投影+HDMI/VGA | 1244: 70"" LCD+玻璃白板 | 各间有 AV hookup",邮件: cse-rooms@ucsd.edu | 自助: Skedda | 提前2-3个工作日,cse-rooms@ucsd.edu,1241/1242/1244 不对学生组织开放 | 仅限水，无食物,学术讲座,True
EBU1,jacobs-hall-qualcomm-conf-center,Jacobs Hall Qualcomm Conf Center,独立预约场地,Jacobs 工学院入口大厅旁的灵活会议中心，由两间房间+可开启隔断墙组成。可配置26/72/98/120人不同规模。适合研讨会/讲座/学生活动/大型会议。含大厅使用权。,independent,"Jacobs Hall
(EBU1 旁)",,,,,,,,,,,120,Conference Center,免费（学生组织）,$125/h | (含 Jacobs Hall Lobby),External: $150/h,True,Jacobs School of Engineering,投影+音响+隔断墙,jacobsschool.ucsd.edu/facilities,facilities@eng.ucsd.edu,PIN 码进入(提前1周发送),职业宣讲会,True
SME,asml-conference-center-sme-building,ASML Conference Center (SME Building),独立预约场地,结构与材料工程楼内的 indoor-outdoor 会议中心。室内95人+户外 Patio 200人。独特的室内外一体设计。,independent,SME Building,,,,,,,,,,,200,"Conference Center
(Indoor-Outdoor)",免费（学生组织）,需联系确认,需联系确认,True,Jacobs School,AV 设备,jacobsschool.ucsd.edu/facilities,facilities@eng.ucsd.edu,独特 indoor-outdoor 设计,,False
FAH,robert-conn-exec-conf-center-fah,Robert Conn Exec Conf Center (FAH),独立预约场地,Franklin Antonio Hall 4楼行政会议中心，两间房(4201/4202)。4201: 72人，4202: 32人(max 48)含 ServiceNow Terrace 露台。高端行政级配置。,independent,"Franklin Antonio Hall, 4F",,,,,,,,,,,4202,Executive Conference,需联系确认,需联系确认,需联系确认,False,Jacobs School,高端AV,jacobsschool.ucsd.edu/facilities,facilities@eng.ucsd.edu,4202 含 ServiceNow Terrace,,False
MANDE,mandeville-auditorium,Mandeville Auditorium,独立预约场地,由建筑师 A. Quincy Jones 设计(1975)的中型表演场馆。752座(部分来源标764座)，舞台 42'×30'，专业灯光栅格+音响系统。2018年全面翻修。UCSD 最成熟的表演级 Auditorium。适合大型演出/典礼/毕业活动/会议。宽侧门+大型卸货台+货运电梯，设备进出方便。前排可改为桌椅配置。,independent,"Mandeville Center
(近 I-5 高速)",,,,,,,,,,,752,Auditorium / 表演厅,需联系确认 | (费率=场租+劳务+设备),需联系确认,需联系确认 | (7/1/2026起涨价),False,University Events Office,专业灯光栅格+音响 | +舞台设备 | Production Manager 支持,Rental Request Form | eforms.ucsd.edu/view.php?id=394210,Jessica C. Flores | j3flores@ucsd.edu | mus-director@ucsd.edu,需先查 Master Calendar | 需规划会议+成本估算 | 押金不可退,春晚,True
SURV,sv-126-11f-survivance-premier,SV-126 (11F Survivance · Premier),Hospitality & Conference Services (HCS),Survivance 大楼11楼旗舰会议厅，450人容量。270°太平洋海景全景落地窗，配有户外家具露台、预备功能区、附属厨房。双投影+集成音响+蓝牙。HCS 最大最高端场地。,hcs,"Survivance Bldg, 11F
(Eighth College/Theater District LLN)",,,,,,,,,,450,450,Premier 大厅,需邮件询价,需邮件询价,需邮件询价,False,HCS,双投影+Screen | 集成音响+蓝牙 | 附属厨房,Email,meetings@ucsd.edu | (858) 534-2230,海景旗舰；含预备区+露台,高端宴会,True
SURV,sv-120-11f-survivance-premier,SV-120 (11F Survivance · Premier),Hospitality & Conference Services (HCS),Survivance 11楼中型会议室，40人。海景，多种布局，Zoom/视频会议就绪。,hcs,"Survivance Bldg, 11F",,,,,,,,,,40,40,Premier 会议室,需邮件询价,需邮件询价,需邮件询价,False,HCS,投影+音响+平板TV | Zoom/视频会议,Email,meetings@ucsd.edu,海景；Zoom ready,,False
SURV,sv-122-sv-105-11f-survivance-premier,SV-122 & SV-105 (11F Survivance · Premier),Hospitality & Conference Services (HCS),SV-122: 小型会议室15人，海景。SV-105: Boardroom 15人，行政级座椅。均配平板TV和Zoom功能。,hcs,"Survivance Bldg, 11F",,,,,,,,,,15,15,Premier 小型/Boardroom,需邮件询价,需邮件询价,需邮件询价,False,HCS,平板TV+音响 | Zoom/视频会议,Email,meetings@ucsd.edu,SV-105 行政级配置,,False
JEANN,jeannie-auditorium-choice,Jeannie Auditorium (Choice),Hospitality & Conference Services (HCS),UCSD 最新社区 North Torrey Pines LLN 内的大型 Auditorium。600固定座椅(含4轮椅位)，独特建筑设计，4块玻璃白板，讲台连接AV，HD投影+蓝光+HDMI+无线投屏，Zoom/Podcast 就绪。3个 Foyer/Lobby 区域，舞台区底部滑门连接东 Foyer。辅助听力设备可用。,hcs,North Torrey Pines LLN,,,,,,,,,,600,600,Choice Auditorium,需邮件询价,需邮件询价,需邮件询价 | 含2h布置+1h清场,False,HCS,HD投影+蓝光 | HDMI+无线投屏 | 无线扩音+讲台AV | Zoom/Podcast ready | 辅助听力设备,Email,meetings@ucsd.edu,非课时段: M-F 3:30pm-10pm | Sat/Sun 全天 | 3个 Lobby 区域,,False
HCS15,15th-floor-choice,15th Floor (Choice),Hospitality & Conference Services (HCS),高层全景会议空间，105人。坐拥海岸线+Torrey Pines 高尔夫球场景观。适合中型会议/workshop。,hcs,待确认（高层建筑）,,,,,,,,,,105,105,Choice 会议空间,需邮件询价,需邮件询价,需邮件询价,False,HCS,AV设备+教室配置,Email,meetings@ucsd.edu,海景+高尔夫球场景,高端宴会,True
ROOFTOP,rooftops-ka-1406-ty-1305-choice,Rooftops KA-1406 / TY-1305 (Choice),Hospitality & Conference Services (HCS),North Torrey Pines LLN 屋顶空间，60人。融合学术/文化/居住氛围。,hcs,North Torrey Pines LLN,,,,,,,,,,60,60,Choice 屋顶空间,需邮件询价,需邮件询价,需邮件询价,False,HCS,AV设备+休息区,Email,meetings@ucsd.edu,,,False
NUEVO,porton-12f-nuevo-east-quality,Porton (12F Nuevo East · Quality),Hospitality & Conference Services (HCS),Nuevo East 12楼会议室40人，含宽敞户外露台，La Jolla/UTC 景观。,hcs,"Nuevo East, 12F",,,,,,,,,,40,40,Quality 会议室+露台,需邮件询价,需邮件询价,需邮件询价,False,HCS,AV设备+U-shape,Email,meetings@ucsd.edu,La Jolla/UTC 景观露台,,False
MOS,mosaic-rm-203-quality,Mosaic (Rm 203) (Quality),Hospitality & Conference Services (HCS),屋顶级会议室30人，海景。HCS 称之为 Premier rooftop meeting room。,hcs,待确认,,,,,,,,,,30,30,Quality 屋顶会议室,需邮件询价,需邮件询价,需邮件询价,False,HCS,AV设备,Email,meetings@ucsd.edu,海景屋顶,,False
EXCHANGE,the-exchange-quality,The Exchange (Quality),Hospitality & Conference Services (HCS),近校园中心的60人活动空间，宽敞户外露台。,hcs,近校园中心,,,,,,,,,,60,60,Quality 活动空间,需邮件询价,需邮件询价,需邮件询价,False,HCS,AV设备+U-shape,Email,meetings@ucsd.edu,户外露台,,False
LION,liontree-arena,LionTree Arena,Recreation Facilities,"44,000sqft 弹簧地板多功能体育馆，最多容纳5,000人。伸缩式看台、场地座位、无障碍环形通道。可分隔帘幕实现多运动同时使用。10个可收缩玻璃篮球背板。专业灯光(100 foot-candles + TV级)、对讲/寻呼/数据/电话系统。更衣室、售票处(200sqft)、小卖部、露台。UCSD 最大室内场馆。",recreation,"RIMAC 区域
9860 Hopkins Dr",44000,,,,,,,,,5000,5000,Arena / 体育馆,需联系确认,"Concert: $6,300/$12,600 | 4-Wall: $3,000/$6,000 | (Half/Full Day)","Concert: $6,300/$12,600 | (Off-campus 全价)",False,Recreation,100fc灯光+TV级 | 对讲/寻呼系统 | 可租舞台/坡道,EMS Cloud,sportsfac@ucsd.edu | (858) 534-8498,含看台开合费用 | 劳务: Event Asst $20-27/h,大型户外活动 | 体育,True
RIMAC,rimac-annex-auxiliary-gym,RIMAC Annex (Auxiliary Gym),Recreation Facilities,RIMAC 附属体育馆，适合中型体育活动、训练营。,recreation,RIMAC,,,,,,,,,,,,多功能运动空间,需联系确认,"$200/h | Half $1,200 / Full $2,400 | (UCSD: $100/h)",Off-campus: | $200/h,False,Recreation,基本灯光,EMS Cloud,sportsfac@ucsd.edu,UCSD Dept 半价,体育,True
RIMAC,rimac-conference-room,RIMAC Conference Room,Recreation Facilities,RIMAC 内会议室，适合小型会议/新闻发布会。,recreation,"RIMAC, 4F",,,,,,,,,,,30,Conference Room,需联系确认,Min $150 / Half $300 | Full $450 | (UCSD: $75/$150/$225),Off-campus: | $150/$300/$450,False,Recreation,基本AV,EMS Cloud,sportsfac@ucsd.edu,,,False
RIMAC,triton-conference-room,Triton Conference Room,Recreation Facilities,较大会议室（原 Green Room）。,recreation,RIMAC,,,,,,,,,,,50,Conference Room,需联系确认,Min $300 / Half $600 | Full $900 | (UCSD: $150/$300/$450),Off-campus: | $300/$600/$900,False,Recreation,AV设备,EMS Cloud,sportsfac@ucsd.edu,,,False
RIMAC,dugout-conference-room,Dugout Conference Room,Recreation Facilities,RIMAC Annex 内会议室。,recreation,RIMAC Annex,,,,,,,,,,,50,Conference Room,需联系确认,Min $300 / Half $600 | Full $900 | (UCSD: $150/$300/$450),Off-campus: | $300/$600/$900,False,Recreation,AV设备,EMS Cloud,sportsfac@ucsd.edu,,,False
RECGM,main-gym,Main Gym,Recreation Facilities,主体育馆，约 115'×100' 硬木地板。适合篮球/排球/室内运动活动。,recreation,Main Gym Building,11500,,,,,,,,,,,Gymnasium,需联系确认,"$200/h | Half $1,200 / Full $2,400 | (UCSD: $100/h)",Off-campus: | $200/h,False,Recreation,基本灯光+音响,EMS Cloud,sportsfac@ucsd.edu,另有 Rec Gym 同价,体育,True
CANYN,canyonview-pools,Canyonview Pools,Recreation Facilities,室外游泳池综合设施。可按2 Lanes/半池/全池/跳水池租用。含灯光选项。,recreation,Canyonview 区域,,,,,,,,,,,,Swimming Pool,需联系确认,Full Pool: $300/h | Half: $150/h | 2 Lanes: $60/h | (UCSD 半价),Off-campus 全价,False,Recreation,计时触垫($500) | 水球钟($350),EMS Cloud,sportsfac@ucsd.edu,灯光 $25/h,,False
